,short_description,label
225,नेपाल के पत्रकार कह ची कम्युनिस्ट पार्ट नेपाल के आंतरिक मामल दखल दे रह ,1
508,बूम आरबीआई के प्रवक् बात स्पष्ट किय वायरल मैसेज फ़र्ज़ ,0
572,मोद द्वार उद्धृत अब्दुल्ल काल्पनिक बयान व्यंग्य वेबसाइट फ़ेकिंग न्यूज़ ,0
517,बूम प्रोफाइल जांच पाय अकाउंट फ़र्ज़ अल जज़ीर द वायर के मुताबिक अकाउंट संबंधित व्यक्त ,0
115,भारत कोरो वायरस बचाव के वैक्सीन तैयार वाल कंपन भारत बायोटेक सीरम इंस्टीट्यूट ऑफ़ इंडिय मंगलवार साझ बयान जार किय विवाद सुलह क्या-क्य जान पूर बात ,1
479,भारत इस्लामिक देश के संगठन ऑर्गेनाइजेशन ऑफ़ इस्लामिक कोऑपरेशन ओआईस के सदस्य देश के विदेश मंत्र बैठक पास प्रस्ताव ख़ारिज दिय ,1
415,प्रधानमंत्र मोद बुर प्रभावित राज्य कह वो टेस्टिंग कॉन्टैक्ट ट्रेसिंग शीर्ष प्राथमिक दें ,1
88,सुप्रीम कोर्ट मंगलवार केंद्र के तीन कृष क़ानून फ़ैसल सुन ,1
544,केंद्रीय स्वास्थ्य मंत्र डॉक्टर हर्षवर्धन उम्मीद जत 2021 के शुरुआ 2-3 महीन वैक्सीन मिल शुर जाय ,1
620,दिन भर सभ ज़रूर ख़बर बड़ अपडेट आपक मिल बीबीस लाइव पेज 24 घंट उपलब्ध ,1
727,अदालत शाह मस्जिद समित समेत चार पक्ष नोटिस जार किय ,1
367,खनचंदा कोर्ट पेश किय जाएग खनचंदा पहल मामल बार पूछताछ चुक ,1
373,बूम छान-बीन साम आय वायरल वीडिय दरअसल पूर्वनियोजित कथानक आधारित ना असल घट दिख ,0
321,बूम घटनास्थल के तस्वीर तुल पाय बच्च हाथ मौजूद चट्टान के फ़्रेम आन वजह ,0
429,बूम पाय कात्याय मंत्र के वायरल ऑडिय क्लिप वास्तविक आवाज़ गायक जीतेन्द्र सिंह ,0
308,बूम पाय तस्वीर 2017 टाइम्स ऑफ़ इंडिय के लेख छप लेखक बूम बत भागलपुर के समीप खींच ,0
276,बूम दिल्ल पुलिस संपर्क किय पत लग वीडिय दरअसल मॉक ड्रिल ना आतंकवाद के दबोच ,0
175,सोनल शर्म राजस्थान न्यायिक सेव आरजेएस 2018 चयन ,1
516,बीबीस हिंद के लाइव पन् आपक मिल दिनभर सभ बड़ खबर हर अपडेट के बन रह हमार ,1
574,चीन समेत एशिया-प्रशांत महासागर क्षेत्र के 15 देश रविवार दुनिय सबस बड़ व्यापार संध वियतनाम के हनोई हस्ताक्षर किय ,1
469,बूम पाय तस्वीर जून 2019 ली थीं हाल के लॉकडाउन पूर असंबंधित ,0
681,भारत चीन के लद्दाख लाइन ऑफ एक्चुअल कंट्रोल एलएस पिछल महीन गंभीर विवाद बन ,1
588,हर साल तमिलनाड के शिवकाश ज़िल बड़ तादाद पटाख बन साल कोरो महामार वजह छह मही उत्पादन नह पाय ,1
334,बूम पाय तस्वीर 2017 इंटरनेट डिजिटल आर्टवर्क ,0
655,बूम पाय वीडिय मूल रूप बांग्लादेश के ब्राह्मणबारिय जह मदरस छात्र स्थानीय दुकानदार के ,0
474,वायरल मैसेज जिसम दाव किय गय पीएम मोद युएस युक सहित देश के कोरोनावायरस टास्क फोर्स नेतृत्व ,0
669,वायरल तस्वीर दाव किय रह प्रदर्शन वाल हिंद दरअसल मुस्लिम राजने ,0
177,वायरल क्लिप अक्टूबर 2016 बीजेप सुब्रत मिश्र टीएमस कार्यकर् द्वार कथित रूप हमल किय गय ,0
329,भारत हर साल लाख लोग वाय प्रदूषण वजह अकाल मौत शिकार रह ,1
404,साहित्यकार आनंद स्वरूप वर्म बीबीस बत मंगलेश डबराल दिल्ल के एम्स अस्पताल बुधवार देर शाम आख़िर सांस ली ,1
17,दाव किय रह किसान द्वार जिय टॉवर जल गय ,0
569,अमानतुल्ल खान अत्याचार खत्म के जरिय माध्यम बन बात रह ,0
759,एनआईए 83 साल के फ़ादर स्टेन स्वाम गिरफ़्तार यूएपीए धाराएँ लग ,1
628,बूम पाय वायरल संदेश मायन भ्रामक ,0
393,मानवाधिकार दिवस कार्टून ,1
754,घट के भ्रामक दाव शुर दिय पाल राष्ट्रीय स्वयंसेवक संघ के संबंध उनक मौत कारण ,0
464,गोव बी प्रदर्शन रह स्थानीय लोग डर प्राकृतिक सुंदर के मशहूर गोव कोयल के ढेर बदल सक ,1
52,दौर टीम इंडिय के चोटिल वाल खिलाड़ संख्य दर्जन भर पहुँच सवाल दौर क्रिकेटर लगातार चोटिल क्य रह ,1
91,भारत ऑस्ट्रेलिय के सिड खेल गय तीसर टेस्ट मैच बि नतीज के समाप्त ऑस्ट्रेलिय भारत के साम दूसर पार जीत के 407 रन लक्ष्य रख जिसक जवाब भारत पाँच विकेट के नुक़सान 334 रन बन ,1
3,पूछ जाए दिल्ल पहल गणतंत्र दिवस परेड कह इसक जवाब वो राजपथ देग सह नह ,1
178,किसान सरकार के छठ दौर बातचीत पहल जान पूर्व कृष मंत्र पूर्व फ़ूड कमिश्नर पूर्व एफ़सीआई चेयरमैन मुद्द जुड़ जानकार क्य होग रास् ,1
581,उनक कदम उनक रिश्तेदार दोस्त मां क्य कह ,1
401,ब्रिटेन एशिय मुस्लिम समुदाय के क्य चल पड़ रह ख़ास कैंपेन ,1
263,अमेरिक के भारत खे के मामल दूसर नंबर पैदावार के मामल अमेरिक नह चीन पीछ ,1
70,किसान के संगठन के प्रतिनिध भारतीय किसान यूनियन के राकेश टिकैत बीबीस बात कह चार लोग कमिट बन उनपर किसान भरोस इसल नह ,1
243,बूम राष्ट्रपत भवन के अधिकार बात दाव फ़र्ज़ बत ,0
669,जम्म कश्मीर के कुलगाम जिल कथित चरमपंथ तीन लोग हत्य दी मार तीन लोग बीजेप के स्थानीय ,1
559,बाघ महाराष्ट्र तेलंग के सात ज़िल 3000 किम यात्र फ़िलहाल मिल गय नय ठिक ,1
182,नेपाल के हालिय संकट चीन के झटक भारत जीत के तौर क्य देख रह भारतीय मीडिय ओल चीन समर्थक कह क्य वो भारत के पक्ष आ ,1
205,महिल किसान कह यूनियन के उनक ना अप समुदाय धर्म जुड़ अप जमीन नुमाइंदग रह ,1
273,बूम वाय संपर्क बात पुष्ट राठेर फ़्रांस भारत के एयर अटाश राफ़ेल जेट ,0
487,बूम पाय तस्वीर 2019 के आर्ट संबंधित बड़ पैम वाल शार्क हत्य के संबंध ,0
387,बूम अप पड़ताल पाय एबीप न्यूज़ के टेम्पलेट के स्क्रीनशॉट के तौर वायरल बयान फ़र्ज़ ,0
704,बूम पाय तस्वीर नाइजीरिय जह पादर अप बहन मानव कंकाल रख ,0
9,बाइडन अमेरिक के अगल राष्ट्रपत बन कमल हैरिस उप-राष्ट्रपत पद शपथ ली ट्रंप शपथग्रहण समारोह शामिल मन दिय फ़्लोरिड चल ,1
730,लखनऊ पुलिस घायल मौल हमल के पीछ के सांप्रदायिक कारण इनकार किय ,0
253,भारत प्रशासित कश्मीर एनकाउंटर मामल मेजर हत्य के दोष हाफ़िज़ सईद साढ़ 15 साल जेल सज़ प्रेस रिव्य ,1
6,विपक्ष कांग्रेस पार्ट सरकार स्थित स्पष्ट कह दूसर ओर सरकार कह स्थित उसक नज़र ,1
5,बेक समझौ H1B वीज़ के नए नियम क्वॉड समूह गठन - ऐस फैसल ट्रंप कार्यकाल अमेरिका-भारत के क्य ट्रंप शासन भारत के सब अच्छा-अच्छ रह ,1
191,मामल भारत के जाने-म मानवाधिकार कार्यकर् बुद्धिजीव जेल पुलिस इन्ह जेल चश्म स्ट्रॉ दे इनकार रह जान क्य ,1
522,देश दुनिय बन रह कोरो के अलग-अलग वैक्सीन ले हर रोज़ नए दाव साम आ रह इनम भारत के सी वैक्सीन सबस सह क्य भारत सरकार क़रार किय जान रिपोर्ट ,1
549,कंप न ची न आधिकारिक पैकेजिंग टैबलेट मिल ,0
277,एयर इंडिय नीलाम किसान आंदोलन कार्टून ,1
20,दाव तस्वीर अटल बिहार वाजपेय अप माँ गोद दिख ,0
169,पाकिस्तान वाय के अत्याधुनिक लड़ाक विमान जेएफ़-17 के ब्लॉक-थ्र तैयार शुर दी चीन के सहयोग बन चौदह जेएफ़-17ब विमान पाकिस्तान वाय सौंप दिए ,1
603,बूम महिल प्रभार संपर्क किय बात पुष्ट घट सांप्रदायिक कोण नह ,0
716,भारत लग रह आरोप शामिल वो मालदीव अप सैन्य मौजूदग स्थापित चाह ,1
304,नीदरलैंड चल रह पुरुष हॉक चैंपियंस ट्रॉफ़ के पहल मुक़ाबल भारत पाकिस्तान हर ,1
252,सड़क 2 के इंटरनेट यूज़र्स पठान के ट्रेलर बहिष्कार जुट ट्विस्ट ,0
709,बूम पाय नेटिज़न्स द्वार शेयर गय तस्वीर मूल रूप अभिने सुनील जाधव फिल्म द अटैक्स ऑफ़ 26/11 ,0
505,डब्ल्यूएचओ कह अभ वैक्सीन टीक नह नय टीक सार्वजनिक रूप उपलब्ध ,0
464,हाल 2014 तस्वीर दाव शेयर रह मोद सरकार लॉकडाउन के अप प्रचार नह ,0
758,पीएमओ डेट पूर्व पीएम मनमोहन सिंह के अर्काइव पत चल मोद विदेश यात्र के संबंध अमित शाह दाव ,0
188,बूम पाय वायरल तस्वीर बैकग्राउंड एडिट करक जोड़ गय असल तस्वीर भारतीय सैनिक लाइन ऑफ़ कण्ट्रोल ,0
638,किरण बेद प्रवर्धित वीडिय शेयर किय नास द्वार शेयर वीडिय अलग ,0
643,रक्ष सौद के अनुसार साल फ्रांस हैमर मिसाइल भारत दे भारत ज़रूरत देख फ्रांसीस वायुसे अप ज़खीर मिसाइल भारत दे फ़ैसल किय ,1
682,बूम पाय वायरल तस्वीर बांग्लादेश के चिटगॉन्ग ईद-ए-मिलाद के मौक निकाल जुलूस के शूट ,0
453,मोद सरकार दिय पीछ हट के संकेत आक्रामक किसान संगठन ,1
626,बीएस चंद्रशेखर वो फिरक गेंदबाज जिनक साम रिचर्ड्स जैस दिग्गज बल्लेबाज़ के पांव डगमग ,1
1,सिख समुदाय के लोग हिंद साइन बोर्ड कालिख पोत दिख तस्वीर सेट वीडिय वायरल रह ,0
119,कांग्रेस प्रियंक गांध के पत कारोबार रॉबर्ट वाड्र सोमवार आय विभाग तलब किय ,1
325,16 दिसंबर 1971 पाकिस्ता भारत के साम समर्पण किय उसक तैयार मेजर जनरल जेएफ़आर जैकब बत क्य ,1
410,बूम छानबीन ऐस आधिकारिक नोटिस नह पाय जिसम लिख चीन अप मुद्र डॉलर एक्सचेंज ,0
359,बूम पाय वायरल तस्वीर साल 2017 मध्य प्रदेश के दमोह इलाक घट ,0
218,बूम पाय वीडिय कांग्सीव कब्रगाह 1962 इंडो-चाइ युद्ध मार सैनिक के बन गय ,0
533,तमिलनाड हथि कुंए गिर जल्द बच के लोग पहुंच ,1
286,केंद्रीय सड़क परिवहन राजमार्ग मंत्र नितिन गडकर घोषण अगल साल भारत टोल प्लाज़ फ़्र जाएग ,1
488,मोद कह नए कृष क़ानून के ज़र किसान नए अधिकार मिल अधिकार किसान समस्य शुर दिय ,1
574,अध्ययन 2019 नोवेल कोरोनावायरस के प्रकोप महीन पहल अक्टूबर 2019 प्रकाशित ,0
515,महिल आज़ाद पार्टनर चुन ले दिल्ल हाई कोर्ट कह महत्वपूर्ण बात के अख़बार सुर्ख ,1
530,वित्त राज्य मंत्र संवादद सम्मेलन झूठ दाव किय ऐस नार कभ नह लग ,0
683,केंद्र सरकार ओर लाए तीन नए कृष क़ानून निष्प्रभाव के पंजाब विधानसभ तीन नए कृष विधेयक पारित ,1
747,बूम शाहबाद एसडीएम बात इवीएम छेड़छाड़ के आरोप ख़ारिज कह जीप सरकार काम्प्लेक्स ,0
474,अरब ज़्याद आबाद वाल देश हर वैक्सीन मिल पाएग नह सवाल टीकाकरण अभियान आन वाल चुनौत ले चिं जत रह ,1
11,दाव किय रह वीडिय किसान आंदोलन 26 जनवर वाल परेड तैयार दिख ,0
596,स्टैंड अप कॉमेडियन कुणाल कामर कह वो सुप्रीम कोर्ट कथित अवमान वाल ट्वीट्स न माफ़ माँग न अप शब्द वापस लेंग ,1
653,नमाज़ पढ़ वाल कह ऐस सद्भाव बढ़ के पुजार सहमत किय जबक लोग धार्मिक भाव आहत मामल मान रह ,1
618,बिहार विधानसभ चुनाव के नतीज आ चुक 243 विधानसभ सीट वाल राज्य बार एनडीए सरकार बन जनादेश मिल ,1
411,दिल्ल सीम डट किसान लोग ऐस शारीरिक रूप सक्षम न के बावजूद प्रदर्शन हिस्स ले रह ,1
531,बूम पाय तस्वीर औरंगाबाद जह प्रदर्शनकार नागरिक संशोधन अधिनियम के ख़िलाफ प्रदर्शन के ,0
171,सरकार किसान के अगल बैठक चार जनवर होग ,1
501,पिछल तिमाह जीडीप लगभग 24 फ़ीसद भार गिरावट दर्ज ,1
319,न्यूज़ संस्थान आईएएनएस द्वार रिपोर्ट प्रकाशित किय लिख सुशांत सिंह राजपूत के पि ट्विटर ,0
325,बूम पाय ट्वीट इंडियन एक्सप्रेस के पैरोड अकाउंट भूषण ऐस जनहित याचिक दायर नह ,0
353,वायरल पोस्ट दाव सुप्रीम कोर्ट आदेश दिय जून 15 देश नाम इंडिय बदल भारत दिय जाएग ,0
65,किसान के संगठन के प्रतिनिध भारतीय किसान यूनियन के राकेश टिकैत बीबीस बात कह चार लोग कमिट बन उनपर किसान भरोस इसल नह ,1
513,संविधान दिवस कार्टून ,1
142,भारत दव नियामक संस्थ के प्रमुख कह देश कोरो वैक्सीन मंज़ूर दी वो सुरक्षित ,1
651,अमेरिक राष्ट्रपत डोनाल्ड ट्रंप बन बाइडन उनक साम भारत समेत पूर दक्षिण एशिय के मुद्द होंग ,1
105,स्टीव स्मिथ 34 फ़ीसद अंतरराष्ट्रीय शतक भारत के ख़िलाफ़ बन उन्ह भारत के ख़िलाफ़ बल्लेबाज़ पसंद ,1
659,पाकिस्तान के प्रधानमंत्र इमरान खान गिलगित-बाल्टिस्तान अंतरिम प्रांत दर्ज दे ऐलान किय ,1
748,बूम पाय वरिष्ठ पत्रकार कुमार के नाम वायरल रह बयान मुर्शिदाबाद ट्रिपल मर्डर के सोशल मीडिय घूम ,0
518,बूम पाय वायरल वीडिय क्रॉप भ्रामक संदर्भ के शेयर किय गय ,0
73,अमेरिक संसद राष्ट्रपत ट्रंप के ख़िलाफ़ महाभियोग प्रस्ताव पारित गय ट्रंप बयान जार लोग शांत बन रख अपील ,1
71,बूम पेश इलेक्ट्रीशियन नज़ीर मुहम्मद बात बत पुलिस शिकायत ,0
109,बूम पाय तस्वीर तेजश्व यादव के अगस्त 2016 जेनेव दौर के वक़्त ली गय थीं ,0
578,बूम पाय वीडिय 2019 मौलव टिप्पण तबरेज अंसार मॉब द्वार हत्य दी गय ,0
18,भारत ऑस्ट्रेलिय उसक अपराजेय मा रह गाब धूल चट सोशल मीडिय लोग लग चौके-छक्क ,1
40,हाल भारत के मुख्य न्यायाधीश किसान आंदोलन ले टिप्पण प्रदर्शन शामिल महिल बुज़ुर्ग घर चल चाह ,1
585,ऑयल इंडिय कह असम के बाघजान गैस कुंए लग आग पांच मही काब पा लिय गय ,1
518,जह चाह राह वाल कहावत सु होग भोपाल किशोर चरितार्थ दिख ,1
33,बूम पाय वायरल वीडिय वर्ष 2017 दार्जीलिंग घटित घट सम्बन्ध रख ,0
588,बूम पाय अखबार कतरन नकल ऑनलाइन अखबार क्लिप जनरेटर मदद बन ,0
745,मिसाइल 400 किलोमीटर ज़्याद मार सक ,1
643,वीडिय 2016 रोहित वेमुल आत्महत्य के ख़िलाफ प्रदर्शन दिल्ल पुलिस द्वार प्रदर्शनकार पिट ,0
670,राजधा दिल्ल बी दिन रोज़ संक्रमण के मामल 5 हज़ार के आ रह रोज़ नय रिकॉर्ड बन रह ,1
117,चीन के जुंग सानसान भारत के मुकेश अंबा पीछ छोड़ एशिय के सबस धन व्यक्त बन ,1
353,भारत के प्रमुख जनरल मनोज मुकुंद नरवण यूएई सऊद अरब के हफ़्तेभर लंब दौर रह ,1
145,बूम महाराष्ट्र राज्य सीआईड बात पुष्ट एनसीप के संजय शिंद मामल कभ शामिल नह ,0
199,बूम पाय वायरल तस्वीर अक्टूबर 2018 हरियाण रोडवेज कर्मचार के प्रदर्शन ,0
0,बूम पाय इमरान खान भारत सरकार आलोच रह वर्तमान शासन अधिनायकवाद मुस्लिम विरोध पाकिस्तान ,0
534,अर्नब पहल ऐस व्यक्त नह कवरेज ऐस स्टाइल अपन पहल ज़्याद शोर भर आक्रामक ज़रूर बन दिय ,1
491,बूम पाय ग्राफिक प्रैंक जनरेटर ऐप के बन गय गल घूम शेर तस्वीर पुरा असंबंधित ,0
539,वीडिय 17 दिसंबर 2019 वायरल शहर हाल हिंस असंबंधित ,0
560,बूम पाय दोन तस्वीर पुरा ज़ न्यूज़ के ऑफिस हाल हमल नह ,0
526,कोयंबटूर पुलिस ख़बर फ़र्ज़ बत पुलिस के मुताबिक शेयर वाल हैंडल पत लग कोशिश रह ,0
50,लोग वैक्सीन ले खुश लोग इसक रिएक्शन डर ,1
281,न्यूज़ वेबसाइट्स मुस्लिम करसेवक मंच के जगह उनक हमनाम सप तस्वीर अप रिपोर्ट इस्तेमाल ,0
391,बूम पत लग नमाज़ अद लोग वायरल वीडिय लॉकडाउन लाग पहल ,0
426,किसान के समर्थन हस्त अवार्ड वापस कार्टून ,1
115,बूम पाय वायरल पोस्ट दाव फ़र्ज़ वीडिय गुजरात नह बल्क हरियाण के फ़तेहाबाद ज़िल ,0
97,भारतीय फ़ार्म कंपन न सिर्फ अप लोग टीकाकरण बल्क दूसर देश वैक्सीन सप्ल ,1
86,वायरल वीडिय के दाव किय गय दिल्ल पुलिस बि मास्क पह लोग दस घंट के जेल डाल रह ,0
478,साल 2008 मुंबई भयावह हमल मुकदम पाकिस्तान 12 साल चल रह जान क्य केस हालत ,1
586,राजने कैस मन रोश पर्व ,1
468,फ़िल्म सिट उत्तर प्रदेश आ जाएग क्य होग क्य हीरो-हिरोइन यूप आएंग ,1
663,बूम पाय तस्वीर मूल रूप मराठ क्रांत मोर्च 2016 आयोजित किय गय ,0
15,सोशल मीडिय दाव वायरल चक् खा गिर दिख रह वृद्ध मृत्य गय ,0
81,‘यूरोपीय क्षेत्र’ के भारत रह इंस्टैंट मैसेजिंग ऐप वॉट्सऐप आपक अप प्राइवेस पॉलिस शर्त बदलाव रह ,1
742,बूम पाय प्रदर्शन कमलेश तिवार द्वार बन हिन्द समाज पार्ट के कार्यकर्त किय ,0
347,बूम पड़ताल पाय तस्वीर दरअसल सरकार नीत के ख़िलाफ़ प्रदर्शन जिसक द्वार सीताराम येचुर बृंद ,0
575,बिहार तारकिशोर प्रसाद बीजेप विधायक दल चु के चर्च सुशील मोद जगह वो नीतीश कुमार के उपकप्तान रह ,1
242,बूम हैदराबाद पुलिस बात करक पत लग प्रतिम स्थाप ले मारपीट शामिल सभ लोग हिंद धर्म के ,0
180,बूम पाय साल पुरा तस्वीर अलग स्लोगन लिख गय ,0
100,वीडिय फ़ेसबुक ट्विटर शेयर रह हाल फ़्रांस इस्लामिक उग्रवाद स्कूल टीचर हत्य ,0
535,इसक वजह नेटफ़्लिक्स के शो अ सूटेबल बॉय के दृश्य आपत्त जत रह ,1
72,संगीत सोम कोरो वैक्सीन विरोध वाल पाकिस्ता मानसिक बत सलाह दे डाल प्रेस रिव्य ,1
688,तेजस्व यादव सियासत विरासत मिल चिराग पासवान अखिलेश यादव तुल दूसर वारिस कित अलग ,1
399,रूस के विदेश मंत्र सर्गेइ लवरोफ़ क्वाड गुट सख़्त टिप्पण के अख़बार सुर्ख़ ,1
40,हालिय किसान प्रदर्शन के तस्वीर दाव के वायरल प्रधानमंत्र गौतम अडा पत् झुक प्रणाम ,0
344,जह पोस्ट दाव किय गय वायरल क्लिप नूज़ीलैण्ड बूम पाय दरअसल मटेर इटल वीडिय ,0
85,स्पूफ़ मज़ाकिय वीडिय यूनाइटेड किंगडम के एड फ़िल्म बन वाल 2005 बन ,0
116,बूम पाय तस्वीर जनवर यूप के देवरिय जिल तीन पुलिस कर्म कथित फ़ोन चोर पिट ,0
245,ब्रिटेन यूरोपीय संघ के पोस्ट-ब्रेग़्जिट ट्रेड डील के ब्रिटेन भारत सहित दूसर देश के फ्र ट्रेड मार्ग प्रशस्त गय ,1
156,बूम पाय फ़ोट 12 दिसंबर 2013 ली गय मेक्सिकन बिल विरोध रह ना भ्रष्टाचार के ख़िलाफ़ ,0
447,पाकिस्तान छप वाल उर्द अख़बार बी सप्ताह कुलभूषण जाधव मामल छाय रह पढ़ अख़बार क्या-क्य छप ,1
412,आमिर खान वायरल रह दाव ट्वीट फ़र्ज़ बत ख़ुदक सूच लिय ,0
388,बूम पत लग वीडिय अगस्त 2019 यूट्यूब ,0
227,भारत ऑस्ट्रेलिय के खेल रह दूसर टेस्ट मैच के चौथ दिन खेल शुर गय मैच मेलबर्न क्रिकेट ग्राउंड खेल रह ,1
460,किसान बी दस दिन दिल्ल सीम तीन नए कृष क़ानून के ख़िलाफ़ लाख संख्य डट उनक घर महिल दिल्ल कूच तैयार ,1
149,बाबर मुग़ल सल्तनत स्थाप बुलंद के दिन उसक पास दुनिय चौथ अधिक दौलत सल्तनत क्षेत्रफल अफ़ग़ानिस्तान समेत लगभग पूर उपमहाद्वीप फैल ,1
120,उत्तर प्रदेश के गाज़ियाबाद ज़िल के मुरादनगर इलाक श्मशान घाट छत गिर घट 25 लोग मौत ,1
568,तस्वीर शी जिनपिंग के जुल 2016 उत्तर पश्चिम चीन मस्जिद यात्र ना हाल के कोरोनावायरस के प्रकोप ,0
294,बूम पाय वास्तविक तस्वीर ज्योतिरादित्य सिंधिय के भाजप शामिल के वक़्त ,0
748,गुरुवार राज्य सात मही के सिनेमाघर मल्टीप्लेक्स दोबार खुल रह ,1
379,बूम पाय नी अंबा ट्विटर अकॉउंट नह बल्क ट्वीट फ़ैन अकाउंट किय गय ,0
61,दाव किय रह किसान आंदोलन ख़ालिस्तान मूवमेंट आपस जुड़ ,0
244,अजिंक्य रहाण कप्ता भारत अच्छ शुरुआत ऑस्ट्रेलिय के मेलबर्न क्रिकेट ग्राउंड खेल रह टेस्ट मैच ऑस्ट्रेलिय टॉस जीत पहल बल्लेबाज़ फ़ैसल किय ,1
230,आंदोलन रह किसान रविवार ताल थाल बज पीएम मोद के ‘मन बात’ कार्यक्रम विरोध किय ,1
435,सवाल उठ रह क्य आरबीआई भारतीय बैंकिंग सेक्टर निगरा पर्याप्त रूप सक्षम नह ,1
590,भारत के सूरत बंदरगाह ईस्ट इंडिय कंप के जहाज़ हेक्टर लंगर डाल गय अनुमान नह लग होग कंप अप देश बीस गु बड़ दुनिय के सबस धन देश उसक लगभग चौथ आबाद सीध तौर शासन वाल ,1
305,बूम पाय वीडिय फ़र्ज़ डिजिटल तरीक एडिट ,0
400,महाराष्ट्र के कोल्हापुर ज़िल के छोट गांव रह वाल सास बह जोड़ पिछल 15 साल अख़बार बांट रह ,1
392,दिल्ल बॉर्डर डट प्रदर्शनकार किसान रात क्य कैस गुज़ार ठंड कैस निपट ,1
348,बूम पाय असल वीडिय लीबिय के समुद्र तट के पास 2014 हादस मार लोग दिख ना ,0
623,ड्यूरेक्स कंप दिल्ल पुलिस मज़ाक उड़ वाल विज्ञापन लिय ,0
188,सरकार प्रेस रिलीज़ के मुताबिक़ देशभर क़रीब 96000 वैक्सीन दे वाल इसक ट्रेन किय गय ,1
99,बूम पाय वायरल तस्वीर दरअसल 2018 ली गय तेजश्व यादव व्यापार के मर्डर के विरोध प्रदर्शन ,0
363,बूम पड़ताल सूरत पुलिस घट सांप्रदायिक कोण नह झगड़ लॉकडाउन के नीयम उल्लंघन ,0
196,सरकार प्रेस रिलीज़ के मुताबिक़ देशभर क़रीब 96000 वैक्सीन दे वाल इसक ट्रेन किय गय ,1
122,भारत भाग हीर व्यापार नीरव मोद बहन बहनोई सरकार गवाह बन ले आवेदन दिय ,1
712,बूम पाय लेख सबस पहल व्यंग मनोरंजक वेबसाइट प्रकाशित जिसक सच मा रह ,0
722,स्वास्थ्य मंत्र कोरो वायरस ले जत चिं विदेश मंत्र चीन रिश्त दिय बयान पढ़ के अख़बार सुर्ख ,1
274,तस्वीर दाव के वायरल ठाकर रिय चक्रबर् जान-पहचान वजह सुशांत सिंह राजपूत केस जांच सह ,0
324,बूम पाय अपाच हेलीकाप्टर दरअसल एरिज़ो के हवास लेक रूटीन ड्रिल के चल उड़ रह ,0
272,वायरल पोस्ट दिख रह तस्वीर बोइंग 787-8 ड्रीमलाइनर भारत द्वार खरीद बोइंग 777-300ER नह ,0
360,छत्तीसगढ़ दिन राज्य महिल आयोग अध्यक्ष के बयान सियास गलियार बहस शुर ,1
558,संयुक्त राष्ट्र भारत कड़ टिप्पण भारत कह संयुक्त राष्ट्र सुरक्ष परिषद ख़राब चुक अंग बन गय ,1
